'a	ぁ
jb	じゅん
xp	しょん
jp	じょん
sg	しん
jg	じん
zg	じん
sb	すん
zb	ずん
sd	せん
zd	ぜん
sp	そん
zp	ぞん
tn	たん
dn	だん
cjn	ちぇん
cn	ちゃん
cb	ちゅん
cp	ちょん
qg	ちん
tb	つん
tg	てぃん
dg	でぃん
td	てん
dd	でん
tp	とん
dp	どん
nm	なん
njn	にゃん
njb	にゅん
njp	にょん
ng	にん
nb	ぬん
nd	ねん
np	のん
hn	はん
bn	ばん
pn	ぱん
hjb	ひゅん
bjb	びゅん
pjb	ぴゅん
hjp	ひょん
bjp	びょん
pjp	ぴょん
hg	ひん
bg	びん
pg	ぴん
fn	ふぁん
fg	ふぃん
fd	ふぇん
fp	ふぉん
fb	ふん
bb	ぶん
pb	ぷん
hd	へん
bd	べん
pd	ぺん
hp	ほん
bp	ぼん
pm	ぽん
mn	まん
mjn	みゃん
mjb	みゅん
mjp	みょん
mg	みん
mb	むん
md	めん
mp	もん
yn	やん
yb	ゆん
yp	よん
rn	らん
ln	りゃん
lp	りょん
lg	りん
rb	るん
ld	れん
rp	ろん
wn	わん
vf	あい
vhf	ヴぁい
vhy	ヴぉい
vl	えい
vv	おう
kf	かい
gf	がい
qy	きい
qv	きゅう
gjv	ぎゅう
qw	きょう
gjw	ぎょう
kv	くう
gw	ぐう
kl	けい
gl	げい
kw	こう
gv	ごう
sf	さい
zf	ざい
cy	しい
jy	じい
xl	しぇい
jl	じぇい
xf	しゃい
jf	じゃい
xv	しゅう
jv	じゅう
xw	しょう
jw	じょう
sj	すい
zj	ずい
sv	すう
zv	ずう
sl	せい
zl	ぜい
sw	そう
zw	ぞう
tf	たい
df	だい
cl	ちぇい
cf	ちゃい
cv	ちゅう
cw	ちょう
tj	つい
tv	つう
tl	てい
dl	でい
tw	とう
dw	どう
nf	ない
nji	にい
njv	にゅう
njw	にょう
nw	ぬう
nl	ねい
nv	のう
hf	はい
bf	ばい
pf	ぱい
hji	ひい
bji	びい
pji	ぴい
hjv	ひゅう
vw	びゅー
bjv	びゅう
pjv	ぴゅう
hjw	ひょう
bjw	びょう
pjw	ぴょう
fy	ふぁい
hv	ふう
bv	ぶう
pv	ぷう
fl	ふぇい
fv	ふぉー
fw	ふゅー
